# 	r			Protein
-2.500000000000000000e+03 1.561958620190220773e+08
-2.425000000000000000e+03 1.601581726289530694e+08
-2.375000000000000000e+03 1.632639689689062834e+08
-2.325000000000000000e+03 1.603476386889590919e+08
-2.275000000000000000e+03 1.581422723890007138e+08
-2.225000000000000000e+03 1.603052409089592695e+08
-2.175000000000000000e+03 1.635523456688938141e+08
-2.125000000000000000e+03 1.627871946989208460e+08
-2.075000000000000000e+03 1.614322852289445698e+08
-2.025000000000000000e+03 1.580943963489973247e+08
-1.975000000000000000e+03 1.578451668689969480e+08
-1.925000000000000000e+03 1.566621112090092301e+08
-1.875000000000000000e+03 1.548521741290451884e+08
-1.825000000000000000e+03 1.564981096290158331e+08
-1.775000000000000000e+03 1.580411674189987779e+08
-1.725000000000000000e+03 1.570768034090023041e+08
-1.675000000000000000e+03 1.593232150289781690e+08
-1.625000000000000000e+03 1.617562875989478827e+08
-1.575000000000000000e+03 1.708707355887895823e+08
-1.525000000000000000e+03 1.775330848586605787e+08
-1.475000000000000000e+03 1.757718611387206018e+08
-1.425000000000000000e+03 1.676428576888280809e+08
-1.375000000000000000e+03 1.685659503088316917e+08
-1.325000000000000000e+03 1.665113542888637781e+08
-1.275000000000000000e+03 1.630703567389031649e+08
-1.225000000000000000e+03 1.629869590189214945e+08
-1.175000000000000000e+03 1.631930619589081407e+08
-1.125000000000000000e+03 1.631976419189204574e+08
-1.075000000000000000e+03 1.619278813689440191e+08
-1.025000000000000000e+03 1.658944389788741171e+08
-9.750000000000000000e+02 1.659025317888665795e+08
-9.250000000000000000e+02 1.653756005188670754e+08
-8.750000000000000000e+02 1.633383668889242709e+08
-8.250000000000000000e+02 1.625119945589188933e+08
-7.750000000000000000e+02 1.642817394289065003e+08
-7.250000000000000000e+02 1.668305841588503718e+08
-6.750000000000000000e+02 1.675618313488379717e+08
-6.250000000000000000e+02 1.666687102188677490e+08
-5.750000000000000000e+02 1.636174661488929093e+08
-5.250000000000000000e+02 1.643123330088979900e+08
-4.750000000000000000e+02 1.658731257388801277e+08
-4.250000000000000000e+02 1.705635404487824440e+08
-3.750000000000000000e+02 1.769239637586942017e+08
-3.250000000000000000e+02 1.786576223786484897e+08
-2.750000000000000000e+02 1.705176693888148963e+08
-2.250000000000000000e+02 1.624711633589490950e+08
-1.750000000000000000e+02 1.655869864488713443e+08
-1.250000000000000000e+02 2.032707294283220172e+08
-7.500000000000000000e+01 2.746720977273121476e+08
-2.500000000000000000e+01 3.301465123578024507e+08
2.500000000000000000e+01 3.279987488278111815e+08
7.500000000000000000e+01 2.772444623673319817e+08
1.250000000000000000e+02 2.090377166282224357e+08
1.750000000000000000e+02 1.686133552788479328e+08
2.250000000000000000e+02 1.648188034888817966e+08
2.750000000000000000e+02 1.712111411387800872e+08
3.250000000000000000e+02 1.750326598887309432e+08
3.750000000000000000e+02 1.765473009786952138e+08
4.250000000000000000e+02 1.732456462387565076e+08
4.750000000000000000e+02 1.664954472388620377e+08
5.250000000000000000e+02 1.668820799488570094e+08
5.750000000000000000e+02 1.697947790387973785e+08
6.250000000000000000e+02 1.768860402386987507e+08
6.750000000000000000e+02 1.749342300387359858e+08
7.250000000000000000e+02 1.780881464886698127e+08
7.750000000000000000e+02 1.710889447287918925e+08
8.250000000000000000e+02 1.719211714287853539e+08
8.750000000000000000e+02 1.700444184588022828e+08
9.250000000000000000e+02 1.649603134888862669e+08
9.750000000000000000e+02 1.727610794587740600e+08
1.025000000000000000e+03 1.733102322087527514e+08
1.075000000000000000e+03 1.755545290287142098e+08
1.125000000000000000e+03 1.774341766786881387e+08
1.175000000000000000e+03 1.758800246587121189e+08
1.225000000000000000e+03 1.741233898887464106e+08
1.275000000000000000e+03 1.737633086087437570e+08
1.325000000000000000e+03 1.748748173687281907e+08
1.375000000000000000e+03 1.715406082887920439e+08
1.425000000000000000e+03 1.750884585987155735e+08
1.475000000000000000e+03 1.719545562187861502e+08
1.525000000000000000e+03 1.689807455888254344e+08
1.575000000000000000e+03 1.682112995988268256e+08
1.625000000000000000e+03 1.627213669489212036e+08
1.675000000000000000e+03 1.618115536789280176e+08
1.725000000000000000e+03 1.616699071389497221e+08
1.775000000000000000e+03 1.616896061389499605e+08
1.825000000000000000e+03 1.616979667689240575e+08
1.875000000000000000e+03 1.589749349689707160e+08
1.925000000000000000e+03 1.583030229890003800e+08
1.975000000000000000e+03 1.589986260089952052e+08
2.025000000000000000e+03 1.596851772489475310e+08
2.075000000000000000e+03 1.581920997689842582e+08
2.125000000000000000e+03 1.578993073589997888e+08
2.175000000000000000e+03 1.589730434089702368e+08
2.225000000000000000e+03 1.628156395089278519e+08
2.275000000000000000e+03 1.605399481689586937e+08
2.325000000000000000e+03 1.569657556490045488e+08
2.375000000000000000e+03 1.575952726490010023e+08
2.425000000000000000e+03 1.595554897289690077e+08
2.500000000000000000e+03 1.576264838190014064e+08
